check,Country_Name,Continent_Name
Ireland,Ireland,Europe
Russia,Russian Federation,Europe
Russia,Russian Federation,Asia
Argentina,"Argentina, Argentine Republic",South America
Mexico,"Mexico, United Mexican States",North America
Canada,Canada,North America
France,"France, French Republic",Europe
India,"India, Republic of",Asia
New Zealand,New Zealand,Oceania
United States,United States of America,North America
United States,United States of America,North America
United States,United States of America,North America
United States,United States of America,North America
United States,United States of America,North America
United States,United States of America,North America
United States,United States of America,North America
Italy,"Italy, Italian Republic",Europe
Japan,Japan,Asia
Japan,Japan,Asia
Austria,"Austria, Republic of",Europe
Colombia,"Colombia, Republic of",South America
Colombia,"Colombia, Republic of",South America
United Kingdom,United Kingdom of Great Britain & Northern Ireland,Europe
United Kingdom,United Kingdom of Great Britain & Northern Ireland,Europe
Hong Kong,"Hong Kong, Special Administrative Region of China",Asia
Taiwan,Taiwan,Asia
Germany,"Germany, Federal Republic of",Europe
Germany,"Germany, Federal Republic of",Europe
Panama,"Panama, Republic of",North America
Egypt,"Egypt, Arab Republic of",Africa
Israel,"Israel, State of",Asia
Ethiopia,"Ethiopia, Federal Democratic Republic of",Africa
Finland,"Finland, Republic of",Europe
Indonesia,"Indonesia, Republic of",Asia
Bahrain,"Bahrain, Kingdom of",Asia
Spain,"Spain, Kingdom of",Europe
Kenya,"Kenya, Republic of",Africa
Netherlands,"Netherlands, Kingdom of the",Europe
South Korea,"Korea, Republic of",Asia
Chile,"Chile, Republic of",South America
Malaysia,Malaysia,Asia
Pakistan,"Pakistan, Islamic Republic of",Asia
Philippines,"Philippines, Republic of the",Asia
Australia,"Australia, Commonwealth of",Oceania
Morocco,"Morocco, Kingdom of",Africa
"Sweden, Denmark and Norway","Sweden, Kingdom of",Europe
Saudi Arabia,"Saudi Arabia, Kingdom of",Asia
Singapore,"Singapore, Republic of",Asia
South Africa,"South Africa, Republic of",Africa
Sri Lanka,"Sri Lanka, Democratic Socialist Republic of",Asia
Switzerland,"Switzerland, Swiss Confederation",Europe
Brazil,"Brazil, Federative Republic of",South America
Portugal,"Portugal, Portuguese Republic",Europe
Thailand,"Thailand, Kingdom of",Asia
Turkey,"Turkey, Republic of",Europe
Turkey,"Turkey, Republic of",Asia
Vietnam,"Vietnam, Socialist Republic of",Asia
China,"China, People's Republic of",Asia
