check,Airline,Country/Region
Aer Lingus,Aer Lingus,Ireland
Aeroflot*,Aeroflot Russian Airlines,Russia
Aerolineas Argentinas,Aerolíneas Argentinas,Argentina
Aeromexico*,Aeroméxico,Mexico
Air Canada,Air Canada,Canada
Air France,Air France,France
Air India*,Air India Limited,India
Air New Zealand*,Air New Zealand,New Zealand
Alaska Airlines*,"Alaska Airlines, Inc.",United States
Alitalia,Alitalia,Italy
All Nippon Airways,All Nippon Airways,Japan
American*,American Airlines,United States
Austrian Airlines,Austrian Airlines,Austria
Avianca,Avianca,Colombia
British Airways*,British Airways,United Kingdom
Cathay Pacific*,Cathay Pacific,Hong Kong
China Airlines,China Airlines,Taiwan
Condor,Condor,Germany
COPA,Copa Airlines,Panama
Delta / Northwest*,Delta Air Lines,United States
Egyptair,Egyptair,Egypt
El Al,El Al Israel Airlines,Israel
Ethiopian Airlines,Ethiopian Airlines,Ethiopia
Finnair,Finnair,Finland
Garuda Indonesia,Garuda Indonesia,Indonesia
Gulf Air,Gulf Air,Bahrain
Hawaiian Airlines,Hawaiian Airlines,United States
Iberia,Iberia Airlines,Spain
Japan Airlines,ZIPAIR Tokyo,Japan
Kenya Airways,Kenya Airways,Kenya
KLM*,KLM,Netherlands
Korean Air,Korean Air,South Korea
LAN Airlines,LATAM Chile,Chile
Lufthansa*,Lufthansa,Germany
Malaysia Airlines,Malaysia Airlines,Malaysia
Pakistan International,Pakistan International Airlines,Pakistan
Philippine Airlines,Philippine Airlines,Philippines
Qantas*,Qantas,Australia
Royal Air Maroc,Royal Air Maroc,Morocco
SAS*,Scandinavian Airlines,"Sweden, Denmark and Norway"
Saudi Arabian,Saudia,Saudi Arabia
Singapore Airlines,Singapore Airlines,Singapore
South African,South African Airways,South Africa
Southwest Airlines,Southwest Airlines,United States
Sri Lankan / AirLanka,SriLankan Airlines,Sri Lanka
SWISS*,Swissair,Switzerland
TACA,AeroTACA,Colombia
TAM,LATAM Brasil,Brazil
TAP - Air Portugal,TAP Portugal,Portugal
Thai Airways,Thai Airways International,Thailand
Turkish Airlines,Turkish Airlines,Turkey
United / Continental*,United Airlines,United States
US Airways / America West*,US Airways,United States
Vietnam Airlines,Vietnam Airlines,Vietnam
Virgin Atlantic,Virgin Atlantic,United Kingdom
Xiamen Airlines,Xiamen Airlines,China
