Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,HBIPS-2_Overall_Rate_Per_1000,HBIPS-2_Overall_Num,HBIPS-2_Overall_Den,HBIPS-3_Overall_Rate_Per_1000,HBIPS-3_Overall_Num,HBIPS-3_Overall_Den,Multiple Antipsychotic Treatments,HBIPS-5_Overall_Num,HBIPS-5_Overall_Den,Post-Dicharge Plan Created,HBIPS-6_Overall_Num,HBIPS-6_Overall_Den,Post-Discharge Plan Transferred,HBIPS-7_Overall_Num,HBIPS-7_Overall_Den,Alcohol Screen,SUB-1_Numerator,SUB-1_Denominator,Tabacco Screen,TOB-1_Numerator,TOB-1_Denominator,Tabacco Use Treatment,TOB-2_Numerator,TOB-2/-2a_Denominator,Tabacco Use Treatment Stay,TOB-2a_Numerator,TOB-2/-2a__Denominator,PEoC_Assessed_Response,EHR_Use_Response,HIE_Response,FUH-30,FUH-30_Numerator,FUH-30_Denominator,FUH-7,FUH-7_Numerator,FUH-7_Denominator,Immunization,IMM-2_Numerator,IMM-2_Denominator,HCP Vaccine,HCP_Numerator,HCP_Denominator,Seclusion,Physical-Restraint,Number_Of_Patients,HCP_Coverage,Multiple Antipsychotic Treatments_norm,Post-Dicharge Plan Created_norm,Post-Discharge Plan Transferred_norm,Alcohol Screen_norm,Tabacco Screen_norm,Tabacco Use Treatment_norm,Tabacco Use Treatment Stay_norm,FUH-30_norm,FUH-7_norm,Immunization_norm,HCP Vaccine_norm,Seclusion_norm,Physical-Restraint_norm,HCP_Coverage_norm
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN STREET PO BOX 1010,OPP,AL,36467,Covington,0.0,0.0,3513.0,0.0,0.0,3513.0,92.86,13,14.0,28.06,71,253.0,91.7,232,253.0,100.0,253,253.0,96.44,244,253.0,56.25,36,64.0,43.75,28,64,Yes,Certified EHR Technology,Yes,,,,,,,39.06,50,128.0,54.0,15,28.0,0.0,0.0,253.0,9.035714285714286,0.7298205959621128,-3.286734689663867,0.3597137841456669,0.5072096709963894,0.201620315504667,-0.38316950511056874,0.23588461932080595,,,-1.5620629085633655,-1.2691232878884484,-0.26991064645002,-0.22658954234158202,0.5470996366522543
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE ,LUVERNE,AL,36049,Crenshaw,0.44,59.63,5611.0,0.07,10.08,5611.0,100.0,60,60.0,100.0,176,176.0,100.0,176,176.0,100.0,176,176.0,100.0,176,176.0,100.0,176,176.0,100.0,176,176,No,Paper or Other Form,No,46.15,18,39.0,,,,100.0,88,88.0,34.0,15,44.0,1.0627339155230797,0.17964712172518268,176.0,4.0,0.9815934796718875,0.5679112372590768,0.7489148074937187,0.5072096709963894,0.4434741121639539,1.1369305717065354,2.2715938794720434,-0.708907919857306,,0.7381638427535024,-2.268366371773246,0.018990613805577313,-0.17472075067090226,-0.2695880502873051
10011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE ,BIRMINGHAM,AL,35235,Jefferson,0.0,0.0,24771.0,0.0,0.0,24771.0,,,,93.7,238,254.0,79.13,201,254.0,0.0,0,332.0,47.29,157,332.0,0.0,0,30.0,0.0,0,30,No,Paper or Other Form,No,58.33,21,36.0,,,,67.5,54,80.0,42.0,14,33.0,0.0,0.0,332.0,10.06060606060606,,0.2303484163025222,-0.22971475362361224,-4.34381959488682,-3.1374566805076767,-2.3375838895897028,-1.3474448052412675,0.2124292887570617,,-0.4885734302658315,-1.8686691382193268,-0.26991064645002,-0.22658954234158202,0.7133156778153236
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE ,FORT PAYNE,AL,35968,DeKalb,0.0,0.0,5832.0,0.0,0.0,5832.0,,,,100.0,241,241.0,100.0,241,241.0,98.78,242,245.0,100.0,245,245.0,95.56,43,45.0,86.67,39,45,No,Paper or Other Form,No,,,,,,,99.06,105,106.0,100.0,54,54.0,0.0,0.0,245.0,4.537037037037037,,0.5679112372590768,0.7489148074937187,0.44802711395261424,0.4434741121639539,0.9826621296249827,1.789176022799759,,,0.7026828262415588,1.0291358050465857,-0.26991064645002,-0.22658954234158202,-0.1824918588248777
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH ,ALABASTER,AL,35007,Shelby,0.11,41.02,15507.0,0.03,9.75,15507.0,,,,84.45,353,418.0,79.19,331,418.0,95.42,583,611.0,97.84,589,602.0,62.46,178,285.0,51.23,146,285,Yes,Certified EHR Technology,Yes,47.06,40,85.0,21.18,18,85.0,100.0,171,171.0,71.0,65,92.0,0.2645256980718385,0.0628748307216096,611.0,6.641304347826087,,-0.2652795351019431,-0.22690125225001176,0.28503253061893846,0.296731359134724,-0.16740215706407233,0.5065887129373615,-0.640072381282669,-0.9426789162675268,0.7381638427535024,-0.4197666665863705,-0.198000070880094,-0.20843594508541585,0.15877635165046552
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE ,OZARK,AL,36360,Dale,0.0,0.0,3039.0,0.0,0.0,3039.0,83.33,30,36.0,96.65,202,209.0,96.65,202,209.0,99.12,224,226.0,87.79,187,213.0,73.47,36,49.0,,,,No,Certified EHR Technology,No,65.06,54,83.0,40.96,34,83.0,6.67,15,225.0,97.0,33,34.0,0.0,0.0,226.0,6.647058823529412,0.39377079459598485,0.38841354675043294,0.591827647467698,0.4645206134566173,-0.38603006120961064,0.21514188512464347,,0.7215097004134409,0.6784225889208466,-2.7846481477355574,0.8792493424638661,-0.26991064645002,-0.22658954234158202,0.1597096074281078
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD ,MONTGOMERY,AL,36116,Montgomery,0.06,20.64,13954.0,0.06,20.03,13954.0,64.91,37,57.0,84.43,1432,1696.0,81.78,1387,1696.0,97.8,1289,1318.0,99.33,1334,1343.0,71.27,506,710.0,65.92,468,710,No,Paper or Other Form,No,31.65,44,139.0,15.83,22,139.0,95.58,864,904.0,83.0,308,373.0,0.1479145764655296,0.14354307008743014,1696.0,4.546916890080429,-0.2557609306048626,-0.2663511631049795,-0.10545177628959537,0.4004870271469586,0.3979566841409981,0.13870256697612612,1.038225495721747,-1.8057379301125054,-1.3811467146880423,0.571327573622873,0.17977918374450788,-0.22970048007922972,-0.1851449284416477,-0.1808895530006174
10033,UNIVERSITY OF ALABAMA HOSPITAL,619  19TH STREET SOUTH ,BIRMINGHAM,AL,35249,Jefferson,0.63,441.63,29399.0,1.16,817.27,29399.0,81.25,13,16.0,14.39,377,2620.0,7.82,205,2620.0,97.07,298,307.0,89.81,185,206.0,56.57,56,99.0,,,,Yes,Paper or Other Form,Yes,45.19,61,135.0,19.26,26,135.0,97.9,140,143.0,42.0,107,254.0,1.5021939521752439,2.7799244872274564,2620.0,10.31496062992126,0.3204251926189077,-4.019192429739439,-3.5735611361476587,0.365074513506011,-0.2487984125433864,-0.3720510588344208,,-0.7815256308810985,-1.1000355841118985,0.6588977420353304,-1.8686691382193268,0.138456602955167,0.5760468856931549,0.7545666767978985
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD ,TALLASSEE,AL,36078,Elmore,0.0,0.0,2299.0,0.0,0.0,2299.0,,,,27.04,43,159.0,27.04,43,159.0,85.53,136,159.0,67.3,107,159.0,0.0,0,12.0,0.0,0,12,Yes,Paper or Other Form,No,66.67,12,18.0,,,,0.0,0,75.0,56.0,34,61.0,0.0,0.0,159.0,2.6065573770491803,,-3.341387717818738,-2.6723028628043384,-0.19473426377691092,-1.7780481211952253,-2.3375838895897028,-1.3474448052412675,0.8432956532762594,,-3.0364123819213713,-1.1691989794999686,-0.26991064645002,-0.22658954234158202,-0.495575341871557
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD ,HUNTSVILLE,AL,35801,Madison,0.0,0.0,6434.0,0.0,0.0,6434.0,66.67,12,18.0,92.78,424,457.0,91.9,420,457.0,98.03,298,304.0,92.05,278,302.0,86.61,110,127.0,79.53,101,127,No,Certified EHR Technology,Yes,44.44,88,198.0,18.18,36,198.0,96.9,281,290.0,70.0,53,76.0,0.0,0.0,457.0,6.0131578947368425,-0.19369926739348942,0.18105352816283476,0.3690921220576683,0.41164439445849016,-0.09662074273529621,0.6716930853389692,1.5307766607112285,-0.8382582176184363,-1.188548709774358,0.6211519797885816,-0.4697288207806104,-0.26991064645002,-0.22658954234158202,0.05690411571204842
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE ,GADSDEN,AL,35903,Etowah,0.0,0.0,4165.0,0.0,0.0,4165.0,,,,90.54,201,222.0,80.63,179,222.0,99.66,296,297.0,100.0,296,296.0,80.43,37,46.0,,,,No,Paper or Other Form,No,35.9,14,39.0,,,,100.0,145,145.0,,,,0.0,0.0,297.0,,,0.06103119182272669,-0.15937721928360285,0.4907161714923862,0.4434741121639539,0.45696809163086194,,-1.4842532719342574,,0.7381638427535024,,-0.26991064645002,-0.22658954234158202,
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET ,GADSDEN,AL,35901,Etowah,0.0,0.0,1797.0,0.17,7.33,1797.0,,,,92.59,125,135.0,82.22,111,135.0,74.22,95,128.0,96.09,123,128.0,69.57,16,23.0,,,,Yes,Paper or Other Form,No,58.54,24,41.0,,,,80.77,63,78.0,58.0,350,608.0,0.0,0.4079020589872009,135.0,0.22203947368421054,,0.17087306213398643,-0.08481943288319271,-0.7433856737483019,0.17784255459715323,0.07963582113408997,,0.22831441304351638,,0.012312834748524099,-1.0692746711114889,-0.26991064645002,-0.10881761971643573,-0.8822943454674643
10062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE ,GENEVA,AL,36340,Geneva,0.0,0.0,4500.0,0.0,0.0,4500.0,35.9,14,39.0,100.0,62,62.0,96.88,62,64.0,100.0,64,64.0,100.0,64,64.0,27.59,64,232.0,0.0,0,232,No,Paper or Other Form,No,56.1,23,41.0,,,,,,,,,,0.0,0.0,232.0,,-1.278720504333233,0.5679112372590768,0.602612736066499,0.5072096709963894,0.4434741121639539,-1.3789653497180705,-1.3474448052412675,0.043744397524710564,,,,-0.26991064645002,-0.22658954234158202,
10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST ,EUFAULA,AL,36027,Barbour,0.0,0.0,2355.0,0.0,0.0,2355.0,100.0,11,11.0,100.0,233,233.0,100.0,233,233.0,100.0,233,233.0,100.0,233,233.0,55.79,130,233.0,44.21,103,233,No,Certified EHR Technology,Yes,,,,,,,100.0,111,111.0,,,,0.0,0.0,233.0,,0.9815934796718875,0.5679112372590768,0.7489148074937187,0.5072096709963894,0.4434741121639539,-0.3991522716325315,0.2525321972704872,,,0.7381638427535024,,-0.26991064645002,-0.22658954234158202,
10078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET ,ANNISTON,AL,36207,Calhoun,0.06,8.0,5616.0,0.24,32.5,5616.0,,,,99.72,358,359.0,98.89,355,359.0,99.77,432,433.0,96.3,416,432.0,92.27,179,194.0,,,,No,Paper or Other Form,No,40.0,56,140.0,22.86,32,140.0,97.89,278,284.0,73.0,35,48.0,0.14245014245014245,0.5787037037037037,433.0,9.020833333333334,,0.5529084452165632,0.6968650320821118,0.49605230368485775,0.1921092111416613,0.8683506038483362,,-1.1741151311034765,-0.8049918319037014,0.6585202844128627,-0.3198423581978908,-0.23118597127375123,-0.05950274708317235,0.5446862569627164
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE ,DECATUR,AL,35601,Morgan,0.0,0.0,13624.0,0.0,0.0,13624.0,,,,81.75,681,833.0,79.23,660,833.0,96.31,235,244.0,98.34,237,241.0,0.0,0,114.0,0.0,0,114,No,Paper or Other Form,No,65.91,58,88.0,42.05,37,88.0,72.66,210,289.0,63.0,102,163.0,0.0,0.0,833.0,5.110429447852761,,-0.40994931551189523,-0.22502558466761122,0.32820669108529904,0.3306995890026013,-2.3375838895897028,-1.3474448052412675,0.7858066320490901,0.7677552805616615,-0.29380529707260816,-0.8194639001402895,-0.26991064645002,-0.22658954234158202,-0.08949958501255041
