Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,HBIPS-2_Overall_Rate_Per_1000,HBIPS-2_Overall_Num,HBIPS-2_Overall_Den,HBIPS-3_Overall_Rate_Per_1000,HBIPS-3_Overall_Num,HBIPS-3_Overall_Den,HBIPS-5_Overall_%_of_Total,HBIPS-5_Overall_Num,HBIPS-5_Overall_Den,HBIPS-6_Overall_%_of_Total,HBIPS-6_Overall_Num,HBIPS-6_Overall_Den,HBIPS-7_Overall_%_of_Total,HBIPS-7_Overall_Num,HBIPS-7_Overall_Den,SUB-1_%,SUB-1_Numerator,SUB-1_Denominator,TOB-1_%,TOB-1_Numerator,TOB-1_Denominator,TOB-2_%,TOB-2_Numerator,TOB-2/-2a_Denominator,TOB-2a_%,TOB-2a_Numerator,TOB-2/-2a__Denominator,PEoC_Measure_Description,PEoC_Assessed_Response,EHR_Use_Response,HIE_Response,FUH-30_%,FUH-30_Numerator,FUH-30_Denominator,FUH-7_%,FUH-7_Numerator,FUH-7_Denominator,IMM-2_%,IMM-2_Numerator,IMM-2_Denominator,HCP_%,HCP_Numerator,HCP_Denominator
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN STREET PO BOX 1010,OPP,AL,36467,Covington,-0.055606663729009805,0.0,3513.0,-0.04427325161065635,0,3513,0.7296995743510105,13,14,-3.2741692395961652,71,253,0.36314345637750134,232,253,0.5070707071457397,253,253,0.20197411519846156,244,253,-0.38438212670060556,36,64,0.23589341273239273,28,64,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,,Not Available,Not Available,,Not Available,Not Available,-1.5681177153035184,50,128,-1.2750364029712464,15,28
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE ,LUVERNE,AL,36049,Crenshaw,-0.038346437800179094,59.63,5611.0,-0.04151952880612126,10.08,5611,0.9816235084264955,60,60,0.5699062810160147,176,176,0.7512043733908328,176,176,0.5070707071457397,176,176,0.44404585298775223,176,176,1.13731447970514,176,176,2.273221879019195,176,176,Assessment of Patient Experience of Care,No,Paper or Other Form,No,-0.7116303188761194,18,39,,Not Available,Not Available,0.7382948352579394,88,88,-2.2753944029203046,15,44
10011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE ,BIRMINGHAM,AL,35235,Jefferson,-0.055606663729009805,0.0,24771.0,-0.04427325161065635,0,24771,,Not Available,Not Available,0.23326914201328017,238,254,-0.22455843842461679,201,254,-4.3545079217372775,0,332,-3.140111815235142,157,332,-2.340849192079421,0,30,-1.3486953943795645,0,30,Assessment of Patient Experience of Care,No,Paper or Other Form,No,0.2087118885200315,21,36,,Not Available,Not Available,-0.4917413953499927,54,80,-1.8752512029406814,14,33
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE ,FORT PAYNE,AL,35968,DeKalb,-0.055606663729009805,0.0,5832.0,-0.04427325161065635,0,5832,,Not Available,Not Available,0.5699062810160147,241,241,0.7512043733908328,241,241,0.4477594478733669,242,245,0.44404585298775223,245,245,0.9828840126779054,43,45,1.7904203064751407,39,45,Assessment of Patient Experience of Care,No,Paper or Other Form,No,,Not Available,Not Available,,Not Available,Not Available,0.7027184027418946,105,106,1.0257869969115876,54,54
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH ,ALABASTER,AL,35007,Shelby,-0.05129160724680212,41.02,15507.0,-0.04309308469442703,9.75,15507,,Not Available,Not Available,-0.26099967318914774,353,418,-0.22175317878355646,331,418,0.28441040594289757,583,611,0.29717086601447507,589,602,-0.16838816268278434,178,285,0.5068128247826198,146,285,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,-0.6428691194729584,40,85,-0.9428079694777872,18,85,0.7382948352579394,171,171,-0.4247321030145469,65,92
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE ,OZARK,AL,36360,Dale,-0.055606663729009805,0.0,3039.0,-0.04427325161065635,0,3039,0.393448160942135,30,36,0.3909008182129735,202,209,0.5945773767649704,202,209,0.46428881521156934,224,226,-0.3862058094861904,187,213,0.21455765758069578,36,49,,Not Available,Not Available,Assessment of Patient Experience of Care,No,Certified EHR Technology,No,0.7172425170730774,54,83,0.6808939450127797,34,83,-2.7939907463617004,15,225,0.8757332969192289,33,34
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD ,MONTGOMERY,AL,36116,Montgomery,-0.05325299655689652,20.64,13954.0,-0.0419129177781977,20.03,13954,-0.2564732488156288,37,57,-0.262068362519315,1432,1696,-0.10065947094445646,1387,1696,0.4001159773103132,1289,1318,0.3984874079543744,1334,1343,0.13803805680143535,506,710,1.0388724722448979,468,710,Assessment of Patient Experience of Care,No,Paper or Other Form,No,-1.807275803871537,44,139,-1.3819791141959135,22,139,0.5710099078952605,864,904,0.17548269695488808,308,373
10033,UNIVERSITY OF ALABAMA HOSPITAL,619  19TH STREET SOUTH ,BIRMINGHAM,AL,35249,Jefferson,-0.03089315842182038,441.63,29399.0,0.0013598691502107975,817.27,29399,0.3200585554971758,13,16,-4.004618396765591,377,2620,-3.5586095218246974,205,2620,0.36462645331946697,298,307,-0.24885049759451455,185,206,-0.373252002950895,56,99,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,Yes,-0.7841696061585747,61,135,-1.1004170531897126,26,135,0.65881557112635,140,143,-1.8752512029406814,107,254
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD ,TALLASSEE,AL,36078,Elmore,-0.055606663729009805,0.0,2299.0,-0.04427325161065635,0,2299,,Not Available,Not Available,-3.3286723954347033,43,159,-2.6599913501384047,43,159,-0.19639972045363285,136,159,-1.7794782553576973,107,159,-2.340849192079421,0,12,-1.3486953943795645,0,12,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,0.8388969467863616,12,18,,Not Available,Not Available,-3.0464320281510826,0,75,-1.1750006029763407,34,61
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD ,HUNTSVILLE,AL,35801,Madison,-0.055606663729009805,0.0,6434.0,-0.04427325161065635,0,6434,-0.19437435190066313,12,18,0.18410943282557912,424,457,0.3724943218477022,420,457,0.4112976081567443,298,304,-0.09653569628889391,278,302,0.6715883640531871,110,127,1.5318154131544692,101,127,Assessment of Patient Experience of Care,No,Certified EHR Technology,Yes,-0.8408409243479928,88,198,-1.189072162777671,36,198,0.6209683024922599,281,290,-0.4747500030119998,53,76
